,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
1555,9574,00:19:51.925,11,,,,,,,,,,,,,,,,,,,,
1566,9574,00:19:56.558,11,,,,,,,,,,,,,,,,,,,,
1573,9574,00:19:59.702,11,,,,,,,,,,,,,,,,,,,,
1581,9574,00:20:04.025,11,,,,,,,,,,,,,,,,,,,,
1587,9574,00:20:07.318,11,,,,,,,,,,,,,,,,,,,,
1590,9574,00:20:11.083,11,,,,,,,,,,,,,,,,,,,,
1595,9574,00:20:15.329,11,,,,,,,,,,,,,,,,,,,,
1601,9574,00:20:19.230,11,,,,,,,,,,,,,,,,,,,,
1609,9574,00:20:23.508,11,,,,,,,,,,,,,,,,,,,,
1618,9574,00:20:30.924,11,,,,,,,,,,,,,,,,,,,,
1625,9574,00:20:35.388,11,,,,,,,,,,,,,,,,,,,,
1630,9574,00:20:39.898,11,,,,,,,,,,,,,,,,,,,,
1634,9574,00:20:44.886,11,,,,,,,,,,,,,,,,,,,,
1638,9574,00:20:50.614,11,,,,,,,,,,,,,,,,,,,,
1640,9574,00:20:53.255,11,,,,,,,,,,,,,,,,,,,,
1642,9574,00:20:56.622,11,,,,,,,,,,,,,,,,,,,,
1644,9574,00:21:00.772,11,,,,,,,,,,,,,,,,,,,,
1646,9574,00:21:04.903,11,,,,,,,,,,,,,,,,,,,,
1648,9574,00:21:12.239,11,,,,,,,,,,,,,,,,,,,,
1656,9574,00:23:26.373,11,,,,,,,,,,,,,,,,,,,,
1657,9574,00:51:30.664,11,,,,,,,,,,,,,,,,,,,,
1663,9574,00:51:42.870,11,,,,,,,,,,,,,,,,,,,,
1671,9574,00:51:48.602,11,,,,,,,,,,,,,,,,,,,,
1675,9574,00:51:52.331,11,,,,,,,,,,,,,,,,,,,,
1679,9574,00:51:54.963,11,,,,,,,,,,,,,,,,,,,,
1686,9574,00:51:58.539,11,,,,,,,,,,,,,,,,,,,,
1692,9574,00:52:01.924,11,,,,,,,,,,,,,,,,,,,,
1703,9574,00:52:06.863,11,,,,,,,,,,,,,,,,,,,,
1710,9574,00:52:10.252,11,,,,,,,,,,,,,,,,,,,,
1738,9574,00:52:19.823,11,,,,,,,,,,,,,,,,,,,,
1757,9574,00:52:24.608,11,,,,,,,,,,,,,,,,,,,,
1778,9574,00:52:30.267,11,,,,,,,,,,,,,,,,,,,,
1841,9574,00:52:44.030,11,,,,,,,,,,,,,,,,,,,,
1857,9574,00:52:48.297,11,,,,,,,,,,,,,,,,,,,,
1884,9574,00:52:55.610,11,,,,,,,,,,,,,,,,,,,,
1906,9574,00:53:02.254,11,,,,,,,,,,,,,,,,,,,,
1933,9574,00:53:10.306,11,,,,,,,,,,,,,,,,,,,,
1965,9574,00:53:18.948,11,,,,,,,,,,,,,,,,,,,,
1976,9574,00:53:22.388,11,,,,,,,,,,,,,,,,,,,,
1996,9574,00:53:27.834,11,,,,,,,,,,,,,,,,,,,,
2017,9574,00:53:33.632,11,,,,,,,,,,,,,,,,,,,,
2068,9574,00:53:52.051,11,,,,,,,,,,,,,,,,,,,,
2106,9574,00:54:08.280,11,,,,,,,,,,,,,,,,,,,,
2143,9574,00:55:21.604,11,+0.242,+0.242,,,,,,,,,,,,,,,,,,
2166,9574,00:55:27.927,11,,,,,,,,,,,,,,,,,,,,
2167,9574,00:55:27.948,11,+0.455,+0.455,,,,,,,,,,,,,,,,,,
2217,9574,00:55:32.280,11,,,,3.0,3,,,,,,,,,,,,,,,
2221,9574,00:55:32.395,11,+0.507,+0.039,,,,,,,,,,,,,,,,,,
2260,9574,00:55:35.722,11,,,,,,,,,,,,,,,,,,,,
2261,9574,00:55:35.741,11,+0.560,+0.129,,,,,,,,,,,,,,,,,,
2303,9574,00:55:38.511,11,,,,,,,,,,,,,,,,,,,,
2346,9574,00:55:41.510,11,+0.455,+0.111,,,,,,,,,,,,,,,,,,
2350,9574,00:55:41.556,11,,,,,,,,,,,,,,,,,,,,
2361,9574,00:55:42.016,11,,,,,,,,,,,,,,,,,,,,
2383,9574,00:55:44.521,11,,,,,,,,,,,,,,,,,,,,
2390,9574,00:55:44.862,11,,,,,,,,,,,,,,,,,,,,
2427,9574,00:55:48.661,11,+0.233,+0.083,,,,,,,,,,,,,,,,,,
2431,9574,00:55:48.991,11,,,,,,,,,,,,,,,,,,,,
2434,9574,00:55:49.049,11,,,,,,,,,,,,,,,,,,,,
2481,9574,00:55:52.595,11,+0.423,+0.194,,,,,,,,,,,,,,,,,,
2484,9574,00:55:52.663,11,,,,,,,,,,,,,,,,,,,,
2526,9574,00:55:57.365,11,,,,,,,,,,,,,,,,,,,,
2527,9574,00:55:57.424,11,+0.789,+0.351,,,,,,,,,,,,,,,,,,
2556,9574,00:56:00.924,11,,,,,,,,,,,,,,,,,,,,
2557,9574,00:56:00.997,11,+0.991,+0.457,,,,,,,,,,,,,,,,,,
2597,9574,00:56:04.968,11,,,,,,,,,,,,,,,,,,,,
2599,9574,00:56:05.000,11,+1.070,+0.465,,,,,,,,,,,,,,,,,,
2632,9574,00:56:09.278,11,+1.165,+0.456,,,,,,,,,,,,,,,,,,
2665,9574,00:56:13.302,11,,,,,,,,,,,,,,,,,,,,
2666,9574,00:56:13.348,11,+1.313,+0.481,,,,,,,,,,,,,,,,,,
2701,9574,00:56:17.651,11,+1.246,+0.400,,,,,,,,,,,,,,,,,,
2731,9574,00:56:21.449,11,,,,,,,,,,,,,,,,,,,,
2733,9574,00:56:21.530,11,+1.244,+0.432,,,,,,,,,,,,,,,,,,
2764,9574,00:56:25.155,11,,,,,,,,,,,,,,,,,,,,
2765,9574,00:56:25.210,11,+1.156,+0.323,,,,,,,,,,,,,,,,,,
2798,9574,00:56:28.818,11,,,,,,,,,,,,,,,,,,,,
2808,9574,00:56:29.924,11,+1.309,+0.527,,,,,,,,,,,,,,,,,,
2842,9574,00:56:34.275,11,,,,,,,,,,,,,,,,,,,,
2843,9574,00:56:34.307,11,+1.412,+0.631,,,,,,,,,,,,,,,,,,
2877,9574,00:56:38.471,11,+1.598,+0.719,,,,,,,,,,,,,,,,,,
2881,9574,00:56:38.948,11,,,,,,,,,,,,,,,,,,,,
2882,9574,00:56:39.019,11,,,,,,,,,,,,,,,,,,,,
2916,9574,00:56:42.768,11,,,,,,,,,,,,,,,,,,,,
2938,9574,00:56:44.234,11,,,,,,,,,,,,,,,,,,,,
2940,9574,00:56:44.315,11,+1.597,,,,,,,,,,,,,,,,,,,
2948,9574,00:56:45.009,11,,,,,,,,,,,,,,,,,,,,
2967,9574,00:56:46.752,11,+1.575,+0.712,,,,,,,,,,,,,,,,,,
2974,9574,00:56:47.349,11,,,,,,,,,,,,,,,,,,,,
3011,9574,00:56:49.834,11,+1.529,+0.702,,,,,,,,,,,,,,,,,,
3012,9574,00:56:49.839,11,,,,,,,,,,,,,,,,,,,,
3019,9574,00:56:50.428,11,,,,,,,,,,,,,,,,,,,,
3055,9574,00:56:53.670,11,,,,,,,,,,,,,,,,,,,,
3057,9574,00:56:53.687,11,+1.446,+0.679,,,,,,,,,,,,,,,,,,
3064,9574,00:56:54.200,11,,,,,,,,,,,,,,,,,,,,
3101,9574,00:56:57.560,11,+1.281,+0.638,,,,,,,,,,,,,,,,,,
3102,9574,00:56:57.568,11,,,,,,,,,,,,,,,,,,,,
3159,9574,00:57:03.559,11,,,,,,,,,,,,,,,,,,,,
3160,9574,00:57:03.602,11,+1.384,+0.632,,,,,,,,,,,,,,,,,,
3195,9574,00:57:08.413,11,+1.527,+0.739,,,,,,,,,,,,,,,,,,
3196,9574,00:57:08.530,11,,,,,,,,,,,,,,,,,,,,
3199,9574,00:57:08.631,11,,,,,,,,,,,,,,,,,,1.0,,
3215,9574,00:57:10.473,11,,,,,,,,,,,,,,,,,,,,
3253,9574,00:57:13.004,11,,,,,,,,,,,,,,,,,,,,
3254,9574,00:57:13.005,11,+1.645,+0.819,,,,,,,,,,,,,,,,,,
3316,9574,00:57:19.093,11,,,,,,,,,,,,,,,,,,,,
3317,9574,00:57:19.110,11,+1.549,+0.834,,,,,,,,,,,,,,,,,,
3345,9574,00:57:23.425,11,+1.555,,,,,,,,,,,,,,,,,,,
3346,9574,00:57:23.455,11,,,,,,,,,,,,,,,,,,,,
3367,9574,00:57:26.695,11,,,,,,,,,,,,,,,,,,,,
3368,9574,00:57:26.765,11,+1.536,+0.838,,,,,,,,,,,,,,,,,,
3395,9574,00:57:29.099,11,,,,,,,,,,,,,,,,,,,,
3398,9574,00:57:29.529,11,,,,,,,,,,,,,,,,,,,,
3438,9574,00:57:32.491,11,,,,,,,,,,,,,,,,,,,,
