,SessionKey,timestamp,DriverNo,GapToLeader,IntervalToPositionAhead_Value,IntervalToPositionAhead_Catching,Line,Position,ShowPosition,RacingNumber,Retired,InPit,PitOut,Stopped,Status,BestLapTime_Value,LastLapTime_Value,LastLapTime_Status,LastLapTime_OverallFastest,LastLapTime_PersonalFastest,NumberOfLaps,BestLapTime_Lap,NumberOfPitStops
1755,9574,00:52:24.109,1,,,,,,,,,,,,,,,,,,,,
1763,9574,00:52:26.639,1,,,,,,,,,,,,,,,,,,,,
1779,9574,00:52:30.355,1,,,,,,,,,,,,,,,,,,,,
1795,9574,00:52:33.977,1,,,,,,,,,,,,,,,,,,,,
1820,9574,00:52:39.319,1,,,,,,,,,,,,,,,,,,,,
1834,9574,00:52:42.675,1,,,,,,,,,,,,,,,,,,,,
1853,9574,00:52:47.501,1,,,,,,,,,,,,,,,,,,,,
1865,9574,00:52:50.968,1,,,,,,,,,,,,,,,,,,,,
1881,9574,00:52:54.903,1,,,,,,,,,,,,,,,,,,,,
1900,9574,00:53:00.521,1,,,,,,,,,,,,,,,,,,,,
1910,9574,00:53:04.690,1,,,,,,,,,,,,,,,,,,,,
1929,9574,00:53:09.340,1,,,,,,,,,,,,,,,,,,,,
1946,9574,00:53:13.688,1,,,,,,,,,,,,,,,,,,,,
1961,9574,00:53:17.667,1,,,,,,,,,,,,,,,,,,,,
1978,9574,00:53:22.863,1,,,,,,,,,,,,,,,,,,,,
2001,9574,00:53:28.741,1,,,,,,,,,,,,,,,,,,,,
2043,9574,00:53:42.573,1,,,,,,,,,,,,,,,,,,,,
2052,9574,00:53:45.921,1,,,,,,,,,,,,,,,,,,,,
2073,9574,00:53:54.782,1,,,,,,,,,,,,,,,,,,,,
2088,9574,00:54:00.057,1,,,,,,,,,,,,,,,,,,,,
2121,9574,00:54:24.314,1,,,,,,,,,,,,,,,,,,,,
2133,9574,00:54:40.248,1,,,,,,,,,,,,,,,,,,,,
2151,9574,00:55:23.132,1,+1.574,+0.260,,,,,,,,,,,,,,,,,,
2193,9574,00:55:29.606,1,,,,,,,,,,,,,,,,,,,,
2240,9574,00:55:33.863,1,,,,,,,,,,,,,,,,,,,,
2275,9574,00:55:37.108,1,,,,10.0,10,,,,,,,,,,,,,,,
2277,9574,00:55:37.192,1,+2.032,+0.118,,,,,,,,,,,,,,,,,,
2278,9574,00:55:37.257,1,,,,,,,,,,,,,,,,,,,,
2320,9574,00:55:39.715,1,+2.154,+0.135,,,,,,,,,,,,,,,,,,
2321,9574,00:55:39.762,1,,,,,,,,,,,,,,,,,,,,
2327,9574,00:55:40.125,1,,,,,,,,,,,,,,,,,,,,
2371,9574,00:55:43.088,1,,,,,,,,,,,,,,,,,,,,
2403,9574,00:55:46.032,1,+1.913,+0.078,,,,,,,,,,,,,,,,,,
2405,9574,00:55:46.083,1,,,,,,,,,,,,,,,,,,,,
2448,9574,00:55:49.955,1,,,,9.0,9,,,,,,,,,,,,,,,
2450,9574,00:55:50.030,1,+1.633,+0.077,,,,,,,,,,,,,,,,,,
2455,9574,00:55:50.405,1,,,,,,,,,,,,,,,,,,,,
2456,9574,00:55:50.482,1,,,,,,,,,,,,,,,,,,,,
2496,9574,00:55:53.662,1,,,,10.0,10,,,,,,,,,,,,,,,
2501,9574,00:55:54.088,1,+2.020,+0.296,,,,,,,,,,,,,,,,,,
2502,9574,00:55:54.145,1,,,,,,,,,,,,,,,,,,,,
2539,9574,00:55:59.377,1,+2.670,+0.160,,,,,,,,,,,,,,,,,,
2580,9574,00:56:03.073,1,,,,,,,,,,,,,,,,,,,,
2581,9574,00:56:03.128,1,+3.122,+0.199,,,,,,,,,,,,,,,,,,
